property,field,location,original,best_guess,reason,confidence
Cabbagetown,Area Type,Gr. Floor Areas,Unknown,—,location name has no recognizable area keyword,Low
Cabbagetown,Area Type,Baseboards,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Baseboards,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Doors,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Doors,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Thresholds,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Fire Cabinets,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Fire Cabinets,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Area Type,Ventilation and wallpaper around it,Unknown,—,surface/feature or building-wide reference — no discrete area,Low
Cabbagetown,Frequency,Ventilation and wallpaper around it,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Corridor lighting,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Elevator doors and frames,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,All metal thresholds,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Kitchen and kitchenettes,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Sitting areas,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Frequency,Gym machinery,Unknown,—,no cadence stated and no consistent frequency for this location,Low
Cabbagetown,Task,Main entrance w/Enterphone area,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,2 Exits west/east,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,2 Sitting Areas,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Security desk,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Mail room/ Parcel Rm.,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,manager assistant Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Leasing Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,manager Office Sitting area x 2,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,all glass of the lobby,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
Cabbagetown,Task,Main entrance w/Enterphone area,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium
