property,row,field,location,original,inferred,reason,confidence,auto_filled
Cabbagetown,7,Area Type,Gr. Floor Areas,Unknown,,location name has no recognizable area keyword,Low,no
Cabbagetown,21,Area Type,Baseboards,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,21,Frequency,Baseboards,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,22,Area Type,Doors,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,22,Frequency,Doors,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,23,Frequency,Thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,24,Area Type,Fire Cabinets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,24,Frequency,Fire Cabinets,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,25,Area Type,Ventilation and wallpaper around it,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,25,Frequency,Ventilation and wallpaper around it,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,26,Frequency,Corridor lighting,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,27,Frequency,Elevator doors and frames,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,28,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,29,Frequency,All metal thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,30,Frequency,Kitchen and kitchenettes,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,31,Frequency,Sitting areas,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,32,Frequency,Gym machinery,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,33,Task,Main entrance w/Enterphone area,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,34,Task,2 Exits west/east,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,35,Task,2 Sitting Areas,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,36,Task,Security desk,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,37,Task,Mail room/ Parcel Rm.,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,38,Task,manager assistant Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,39,Task,Leasing Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,40,Task,manager Office Sitting area x 2,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,41,Task,all glass of the lobby,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,42,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,55,Task,Main entrance w/Enterphone area,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,56,Task,2 Exits west/east,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,57,Task,2 Sitting Areas,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,58,Task,Security desk,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,59,Task,Mail room/ Parcel Rm.,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,60,Task,Mngr. Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,61,Task,Leasing Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,62,Task,PM Office,(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,63,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated),Vacuum,source_text contains action 'vacuum',Medium,no
Cabbagetown,66,Area Type,Baseboards,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,66,Frequency,Baseboards,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,67,Frequency,Resident doors & thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,68,Area Type,Ventilation and wallpaper around it,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,68,Frequency,Ventilation and wallpaper around it,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,69,Frequency,Corridor lighting,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,70,Area Type,Fire Cabinets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,70,Frequency,Fire Cabinets,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,71,Frequency,Elevator doors and frames & TRACKS (that floor only),Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,72,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,73,Frequency,All metal thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,74,Frequency,Chute Room Tiles,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,83,Area Type,Gr. Floor Areas,Unknown,,location name has no recognizable area keyword,Low,no
Cabbagetown,105,Area Type,Gr. Floor Areas,Unknown,,location name has no recognizable area keyword,Low,no
Cabbagetown,115,Area Type,Baseboards,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,115,Frequency,Baseboards,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,116,Area Type,Doors,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,116,Frequency,Doors,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,117,Frequency,Thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,118,Area Type,Fire Cabinets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,118,Frequency,Fire Cabinets,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,119,Area Type,Ventilation and wallpaper around it,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,119,Frequency,Ventilation and wallpaper around it,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,120,Frequency,Corridor lighting,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,121,Frequency,Elevator doors and frames,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,122,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,123,Frequency,All metal thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,124,Frequency,Kitchen and kitchenettes,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,125,Frequency,Sitting areas,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,126,Frequency,Gym machinery,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,127,Task,Main entrance w/Enterphone area,(no explicit task verb stated),,no task verb in source_text or sibling rows,Low,no
Cabbagetown,128,Task,2 Exits west/east,(no explicit task verb stated),,no task verb in source_text or sibling rows,Low,no
Cabbagetown,129,Task,2 Sitting Areas,(no explicit task verb stated),,no task verb in source_text or sibling rows,Low,no
Cabbagetown,130,Task,Security desk,(no explicit task verb stated),,no task verb in source_text or sibling rows,Low,no
Cabbagetown,131,Task,Mail room/ Parcel Rm.,(no explicit task verb stated),,no task verb in source_text or sibling rows,Low,no
Cabbagetown,132,Task,Sitting area x 2,(no explicit task verb stated),,no task verb in source_text or sibling rows,Low,no
Cabbagetown,133,Task,all glass of the lobby,(no explicit task verb stated),,no task verb in source_text or sibling rows,Low,no
Cabbagetown,134,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated),,no task verb in source_text or sibling rows,Low,no
Cabbagetown,141,Task,Main entrance w/Enterphone area,(no explicit task verb stated) - afternoon pass,,no task verb in source_text or sibling rows,Low,no
Cabbagetown,142,Task,2 Exits west/east,(no explicit task verb stated) - afternoon pass,,no task verb in source_text or sibling rows,Low,no
Cabbagetown,143,Task,2 Sitting Areas,(no explicit task verb stated) - afternoon pass,,no task verb in source_text or sibling rows,Low,no
Cabbagetown,144,Task,Security desk,(no explicit task verb stated) - afternoon pass,,no task verb in source_text or sibling rows,Low,no
Cabbagetown,145,Task,Mail room/ Parcel Rm.,(no explicit task verb stated) - afternoon pass,,no task verb in source_text or sibling rows,Low,no
Cabbagetown,146,Task,Sitting area x 2,(no explicit task verb stated) - afternoon pass,,no task verb in source_text or sibling rows,Low,no
Cabbagetown,147,Task,all glass of the lobby,(no explicit task verb stated) - afternoon pass,,no task verb in source_text or sibling rows,Low,no
Cabbagetown,148,Task,3 Elevators (#E1 to #E3),(no explicit task verb stated) - afternoon pass,,no task verb in source_text or sibling rows,Low,no
Cabbagetown,149,Area Type,Baseboards,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,149,Frequency,Baseboards,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,150,Area Type,Doors,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,150,Frequency,Doors,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,151,Frequency,Thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,152,Area Type,Fire Cabinets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,152,Frequency,Fire Cabinets,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,153,Area Type,Ventilation and wallpaper around it,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,153,Frequency,Ventilation and wallpaper around it,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,154,Frequency,Corridor lighting,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,155,Frequency,Elevator doors and frames,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,156,Frequency,"Stairwells doors, frames, thresholds & hinges (top of door)",Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,157,Frequency,All metal thresholds,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,158,Frequency,Kitchen and kitchenettes,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,159,Frequency,Sitting areas,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,160,Frequency,Gym machinery,Unknown,,no cadence stated and no consistent frequency for this location,Low,no
Cabbagetown,163,Area Type,Floors (24th-12th),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,164,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,165,Area Type,Floors (24th-12th),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,166,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,167,Area Type,Floors (11th-2nd),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,168,Area Type,Carpets,Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
Cabbagetown,169,Area Type,Floors (11th-2nd),Unknown,,surface/feature or building-wide reference — no discrete area,Low,no
